,speaker,content,session,BC_Trans_Preds
1117,Nastya to Alik, Everyone?,1902,question
1118,Alik," Well, yes. So they know…",1902,statement
1119,Zhenya, //Geologists…,1902,floor-grabber
1120,Nastya, //Can I write [UI]?,1902,question
1121,Alik, Yes. Whatever you want. They will read it. The main thing is to respond.,1902,statement
1122,Ryan, Just try to do a little bit of work at the same time.,1902,statement
1123,Nastya, What? I did. What?,1902,question
1124,Ryan, The whole part she is just communicating with [UI].,1902,statement
1125,Alik to Nastya, Ryan bit you.,1902,statement
1126,Natasha, //How do you write “everybody”?,1902,question
1127,Zhenya, Sitting and suffering?,1902,question
1128,Natasha to Nastya, // Did I write “everybody” correctly?,1902,question
1129,Zhenya, Everybody. //Who needs to write to the geologists? //Geologists…,1902,question
1130,Natasha, //Yes.,1902,question
1131,Dasha, You can write to everyone at once.,1902,statement
1132,Natasha," Yeah, last time we had a great conversation. Now we need to wait five minutes for// someone to answer.",1902,statement
1133,Zhenya, //[UI],1902,statement
1134,Alik," Ah, yes. Yes yes yes…",1902,statement
1135,Zhenya, Or I will in Russian…,1902,disruption
1136,Natasha, Engineers… Well if //I write to the engineers…,1902,disruption
1137,Dasha, //No we don’t have a delay in //[UI],1902,disruption
1138,Nastya," //Oh, what the heck?",1902,question
1139,Natasha to Dasha, Did you just immediately read what I wrote?,1902,question
1140,Dasha, Yes. Hi everybody. //[UI],1902,statement
1141,Natasha, //[UI],1902,statement
1142,Alik," //We will have forty-five minutes. Don’t forget. You need to select a place. Don’t forget to use the data provided [UI]. Your mission is to join efforts to achieve the goals. If necessary, you can communicate with the group by corresponding in the chat with a five-minute delay. So, that’s it.",1902,statement
1143,Zhenya, This is what I wrote to the geologists:OK. Is that okay?,1902,question
1144,Zhenya, “Sent” means “sent”.,1902,statement
1145,Alik, What is OK?,1902,question
1146,Zhenya, OK and that’s it.,1902,statement
1147,Alik, //[UI],1902,disruption
1148,Natasha, Fine…,1902,floor-grabber
1149,Alik, //But they aren’t asking “how are you?” You already answered.,1902,statement
1150,Ryan, //Amazing.,1902,statement
1151,Alik, Fine.,1902,statement
1152,Ryan, What are the coordinates?,1902,question
1153,Dasha, What?,1902,question
1154,Alik, Ours… now…,1902,floor-grabber
1155,Natasha, //[UI},1902,disruption
1156,Alik to Ryan, Eighteen comma fifty. Eighteen coma fifty. Here is our square.,1902,statement
1157,Dasha," //Eighteen fifty, right?",1902,question
1158,Alik, //Eighteen fifty.,1902,statement
1159,Zhenya, What do we need to do?,1902,question
1160,Dasha, //enter eighteen fifty on the plus sign…,1902,floor-grabber
1161,Ryan to Zhenya, //Here…,1902,floor-grabber
1162,Zhenya, Eighteen fifty…,1902,floor-grabber
1163,Natasha, Okay…,1902,floor-grabber
1164,Zhenya," Then on this, right?",1902,question
1165,Natasha," //[UI], soil temperature…",1902,disruption
1166,Nastya," Okay, next… What do we do?",1902,question
1167,Natasha," Oh, wow it’s like this… So here we enter [data] according to the old scheme?",1902,question
1168,Alik," Yes, work with your data…",1902,floor-grabber
1169,Ryan to Zhenya, Here you need to select three…,1902,floor-grabber
1170,Zhenya," Mhm, any.",1902,statement
1171,Ryan, Yes… [UI]…location…plus…//[UI],1902,disruption
1172,Nastya, // But why are they landing here? For the stone slab?,1902,question
1173,Natasha," Oh, here it goes…",1902,question
1174,Alik, Well. No. It just says a flat place.,1902,statement
1175,Nastya," Yes, but there are rocky stone layers. [UI]",1902,statement
1176,Alik," Well yes, that’s good, that’s flat. That means we can land there.",1902,statement
1177,Nastya, But he doesn’t absolutely need to land there. [UI],1902,statement
1178,Alik," Well, there is no major difference.",1902,statement
1179,Ryan," For the first one, internal parts will be used by meteorologist specialist.",1902,statement
1180,Alik, Internal parts?,1902,question
1181,Ryan," Yes, so [UI]",1902,disruption
1182,Natasha, Geology is the most difficult.,1902,statement
1183,Alik, //[UI],1902,disruption
1184,Ryan, I wanna see. Higher… Higher…,1902,disruption
1185,Dasha, Higher?,1902,question
1186,Alik, //[UI],1902,disruption
1187,Natasha, //[UI],1902,disruption
1188,Ryan, //[UI],1902,disruption
1189,Nastya," So, just do our part, right?",1902,question
1190,Ryan, Mhm.,1902,backchannel
1191,Ryan, Who is maintenance in Chicago?,1902,question
1192,Alik, Maintenance…,1902,floor-grabber
1193,Nastya to Alik, You are…,1902,floor-grabber
1194,Alik to Nastya," No, I am materials.",1902,statement
1195,Nastya, Then the blonde girl. What’s her name? Sorry…,1902,question
1196,Alik," That chat doesn’t say when we sent messages, right? The time?",1902,question
1197,Natasha, [UI],1902,question
1198,Natasha, [UI],1902,disruption
1199,Dasha to Alik, What did you say about the surface?,1902,question
1200,Alik, That’s a flat surface.,1902,statement
1201,Dasha, Flat is all stone?,1902,question
1202,Alik, There are no hills there.,1902,statement
1203,Natasha, There is no debris here Very clean.,1902,statement
1204,Dasha, She said debris is there. A lot of debris. Debris:is trash.,1902,statement
1205,Alik, This is debris.,1902,statement
1206,Natasha," No, I’m looking at [UI]",1902,disruption
1207,Dasha to Alik, Let me look…,1902,floor-grabber
1208,Alik, Mhm…,1902,disruption
1209,Dasha," No, there’s another one there, where the coordinates are.",1902,statement
1210,Natasha, [UI],1902,statement
1211,Natasha, And you don’t need to respond to the hydrogeologist specifically //[UI],1902,disruption
1212,Ryan, I already did.,1902,statement
1213,Natasha, You already did?,1902,question
1214,Ryan, Yes.,1902,statement
1215,Nastya," I want to make a joke, but…",1902,disruption
1216,Zhenya, Joke away.,1902,statement
1217,Ryan to Nastya, Go ahead.,1902,statement
1218,Zhenya to Nastya, Don’t be shy.,1902,statement
1219,Natasha to Nastya," Come on, come on, come on.",1902,statement
1220,Nastya, These are the longest five minutes I’ve waited for a message from [UI]. I wrote so long ago.,1902,statement
1221,Zhenya," Well, he just can’t check his messages right now.",1902,statement
1222,Alik, He left the room.,1902,statement
1223,Zhenya," When he’s finished writing his paper, he’ll be back Oh!",1902,statement
1224,Nastya," Remember, it’s just a five-minute difference.",1902,statement
1225,Alik, [UI],1902,disruption
1226,Nastya," [UI]. Fine, I’m kidding. A joke.",1902,statement
1227,Alik, What’s his name?,1902,question
1228,Nastya, [whispering] [UI],1902,disruption
1229,Zhenya, Maximillian.,1902,statement
1230,Alik," Ah, Max.",1902,statement
1231,Zhenya, For some reason no one answered me.,1902,statement
1232,Nastya, I understand. It’s so torturous.,1902,statement
1233,Zhenya, And I’m like “OK.”,1902,statement
1234,Alik, OK:you wrote two letters. Are they answering anyone at all?,1902,question
1235,Nastya, No.,1902,statement
1236,Natasha," Ah, yes. Her:biomechanical engineer…",1902,floor-grabber
1237,Dasha to Natasha," A mechanical:that’s you, right?",1902,question
1238,Natasha to Dasha," Yes, I’m mechanical.",1902,statement
1239,Dasha," Okay, I found our girl.",1902,statement
1240,Natasha, [UI],1902,disruption
1241,Dasha," And here on the pump, who fills this in?",1902,question
1242,Natasha, Are you writing in the triangle? About the pump:I do.,1902,statement
1243,Dasha, Well yes.,1902,statement
1244,Natasha," You’re writing in the triangle, right? Not in the hexagon.",1902,statement
1245,Dasha," Well, no. In the chat.",1902,statement
1246,Natasha," Well, yeah. In the chat where you see the triangle or over there with the hexagon?",1902,question
1247,Dasha," Triangle, and inside the hexagon.",1902,statement
1248,Natasha," Yes, there, there.",1902,statement
1249,Natasha," Did you pick this for the first filter? Oy, what do you have, for the pipes?... Pipe materials, right?",1902,question
1250,Dasha," Yes, yes. But I only have a pipe and its width. I picked the pipe, and the width:let me think.",1902,statement
1251,Natasha, We’ll see now…,1902,floor-grabber
1252,Natasha, Do you write “choose’ with two O’s? Why didn’t you write with double O?,1902,question
1253,Dasha, Because it’s past tense.,1902,statement
1254,Natasha, So…,1902,disruption
1255,Dasha to Ryan, Are you hiding something from me over there?,1902,question
1256,Ryan, Hm?,1902,question
1257,Dasha, You keep using your hand…,1902,floor-grabber
1258,Alik, [UI],1902,disruption
1259,Dasha to Natasha, Do you have anything yet?,1902,question
1260,Natasha, I have this…,1902,disruption
1261,Dasha," Well, between us… Oh!",1902,statement
1262,Natasha, Oh!,1902,statement
1263,Ryan, Question.,1902,statement
1264,Zhenya, What do we need here?,1902,question
1265,Alik, Choose…,1902,floor-grabber
1266,Zhenya, Yourself or what?,1902,question
1267,Alik, No. Whom do you rely on?,1902,question
1268,Nastya, On myself.,1902,statement
1269,Zhenya," So, Ryan, who do we have? Meteorologist.",1902,statement
1270,Alik, And what [UI] to look for?,1902,question
1271,Nastya," In this assignment, right? Correct?",1902,question
1272,Alik," Well, of course. [UI]",1902,statement
1273,Nastya, They read mine.,1902,statement
1274,Natasha," Shoot, what, do we have to choose?",1902,question
1275,Dasha, The last one…,1902,floor-grabber
1276,Natasha," Ah, got it. Exactly.",1902,statement
1277,Nastya," What, again?",1902,question
1278,Dasha to Natasha, And you only need to choose two of these? //Four?,1902,question
1279,Natasha," //I need a lot. Yes, four.",1902,statement
1280,Dasha, //Really?,1902,question
1281,Natasha," [UI], [UI] and this is the hardest- [SL]Voltage and discharge.",1902,statement
1282,Dasha,Lets write 1700 for voltage… We were supposed to agree.,1902,statement
1283,Natasha," Okay, looking now [UI]",1902,disruption
1284,Nastya to Zhenya, You [UI] someone?,1902,question
1285,Ryan to Zhenya," Good. Give it to me, please…",1902,floor-grabber
1286,Nastya," So… you’re our mechanical engineer. And you, Dasha?",1902,question
1287,Dasha, I’m the hydro… [To Natasha] But what are you for this here?,1902,question
1288,Natasha," I don’t really understand, but I think that’s for me.",1902,statement
1289,Nastya to Dasha, You’re the hydrogeologist?,1902,question
1290,Dasha," I am, yes.",1902,statement
1291,Nastya to Dasha, You’re the hydrogeologist?,1902,question
1292,Dasha," I am, yes!",1902,statement
1293,Nastya, Sorry.,1902,statement
1294,Dasha, //What’s with you? I had to answer you twice.,1902,statement
1295,Alik, //Not alike or something?,1902,question
1296,Natasha to Dasha, You’re the engineer!,1902,statement
1297,Dasha," //Oy, I’m the engineer.",1902,statement
1298,Nastya, //[UI],1902,statement
1299,Dasha, //I forgot all the information! [UI],1902,statement
1300,Nastya, //[UI],1902,statement
1301,Dasha, //[UI] Sorry.,1902,statement
1302,Nastya, No big deal.,1902,statement
1303,Dasha, Why is no one writing to me? //[singing] “No one for the colonel…”,1902,question
1304,Nastya," Okay, take it…",1902,question
1305,Dasha," Tell me, please, for [SL] “five restrictions” the more the better or is that worse? …That’s the first line.",1902,statement
1306,Alik, Less is better.,1902,question
1307,Dasha, Less is better?,1902,question
1308,Alik, Yes. To use less materials.,1902,statement
1309,Dasha, [UI],1902,disruption
1310,Alik," Well, do you know the diameter, the size?",1902,question
1311,Dasha, I’m talking about “five restrictions.”,1902,statement
1312,Alik," Where are they, here?... [UI]…// [UI]",1902,question
1313,Dasha," So, you’re saying //less is better, right?",1902,question
1314,Alik," Yes, from a materials standpoint. The less materials you use, the cheaper everything will be.",1902,statement
1315,Dasha," Okay, then I’m changing //[UI]",1902,disruption
1316,Zhenya, Swap it for polyethylene.,1902,statement
1317,Dasha, You think?,1902,question
1318,Alik, Strong pipes.,1902,statement
1319,Nastya to Alik, Did you enter something in your data there?,1902,question
1320,Alik," //Yes, I am now. And I did, actually.",1902,statement
1321,Nastya, What exactly?,1902,question
1322,Alik, I use the strongest materials.,1902,statement
1323,Nastya," You entered them, right? Should I see them?",1902,question
1324,Alik, //Mhm.,1902,statement
1325,Nastya, No.,1902,statement
1326,Alik," Well, I entered them and clicked so that everyone could view.",1902,statement
1327,Nastya, It’s not there. Do you see mine?,1902,question
1328,Alik, What do you have?,1902,question
1329,Nastya, Operation specialist.,1902,statement
1330,Alik," I know, but I don’t see anything from you. Nothing… See, it’s empty?",1902,question
1331,Nastya, Mhm…,1902,backchannel
1332,Alik, //[UI],1902,disruption
1333,Natasha, //[UI]… we’ll take a hundred watts.,1902,statement
1334,Nastya to Natasha, Are you writing with Leo there?,1902,question
1335,Natasha," Ah, yes, that’s me.",1902,statement
1336,Alik, Dasha changed everything three minutes ago.,1902,statement
1337,Nastya, Maybe you’re looking at him?,1902,question
1338,Alik," You, there… In forty-five minutes [SL] change of decision directives.",1902,statement
1339,Dasha, I didn’t change anything. I’m just entering.,1902,statement
1340,Alik," No, I’m not saying that. The system is counting it. You checked the box there…",1902,statement
1341,Nastya," //And that means “max possible population”? Ryan, what does it mean?",1902,question
1342,Ryan, It means how many people you could get water to. In that sense.,1902,statement
1343,Natasha, And these I guessed…,1902,disruption
1344,Nastya, //She wrote “Hi” to me.,1902,statement
1345,Alik," Ah, here, I get it. This one…",1902,disruption
1346,Nastya," Why [UI] if I chose it. Oh, it’s five minutes delayed. That’s why.",1902,statement
1347,Dasha, Why is no one answering me? I’m a bit…,1902,question
1348,Alik, Five minutes passed a long time ago.,1902,statement
1349,Dasha, //Yes. Not in the general chat… Are they sleeping? Maybe they [UI],1902,question
1350,Ryan to Alik, You change it every time. Unless you are the materials specialist.,1902,statement
1351,Alik, I’m about to do it right now for the first time.,1902,statement
1352,Ryan, You are the materials specialist?,1902,question
1353,Alik, Me.,1902,statement
1354,Ryan, Yea. It keeps saying that you changed the drill and the filter. //[UI],1902,statement
1355,Alik, //Oh yeah.,1902,statement
1356,Nastya, Ok. I put my data and it //doesn’t show it.,1902,statement
1357,Alik, They didn’t think [SL] I need to register.,1902,statement
1358,Dasha, How many minutes ago did we start all this?,1902,question
1359,Zhenya to Dasha, //They won’t write you today.,1902,statement
1360,Natasha:,  //[UI] still not this…,1902,disruption
1361,Dasha, Sixty.,1902,statement
1362,Zhenya, They aren’t writing me today.,1902,statement
1363,Dasha," Ah, it just came.",1902,statement
1364,Nastya," What did I do wrong? I entered my data, and nothing is changing.",1902,statement
1365,Alik, …,1902,floor-grabber
1366,Nastya," It doesn’t show up here. I did the processing speed, //[UI[",1902,disruption
1367,Dasha to Natasha, //[UI] you heard that [UI],1902,disruption
1368,Natasha to Dasha," //Well, you just said it, right?",1902,question
1369,Alik to Nastya, I think you should go up over there.,1902,statement
1370,Nastya, Yes.,1902,statement
1371,Alik," Go up, more. There. Select yourself and check the box.",1902,statement
1372,Nastya," No, it’s sign off.",1902,statement
1373,Alik," Well, that’s right. Sign off:that’s your data. You’re saying, “I am ready to propose everything to you with these data.” I just did it myself…",1902,statement
1374,Natasha to Dasha, Did you get my message?,1902,question
1375,Dasha," Yes, I see it.",1902,statement
1376,Alik," Ryan, now do you see mine?",1902,question
1377,Ryan," Operations specialist [UI], Drilling specialist.",1902,statement
1378,Nastya, Sign off status:no. Should be decisions. Change the [SL] coordinate duty blah blah blah.,1902,statement
1379,Dasha to Natasha," He wrote to you again, right?",1902,question
1380,Natasha, I wrote… Or did I not write? Aluminum.,1902,statement
1381,Dasha, Also?,1902,question
1382,Natasha, Yes.,1902,statement
1383,Nastya," So, tell me when you make changes.",1902,statement
1384,Dasha," We just enter in the graphs what can be selected, and it automatically changes above.",1902,statement
1385,Natasha, //It changes?,1902,question
1386,Nastya, //Mine doesn’t change.,1902,statement
1387,Dasha," Yes, these data change for me.",1902,statement
1388,Natasha to Dasha, But did yours change?,1902,question
1389,Dasha, I have forty-four there now. Where [SL] five restrictions. What do you have?,1902,question
1390,Alik," Yes, but here someone is Mars meteorologist now…",1902,floor-grabber
1391,Natasha, //[UI],1902,disruption
1392,Nastya to Alik," No, //[UI]",1902,disruption
1393,Alik," Look here, the most important thing for me is how much this will all cost. Right now, it’s two hundred seventy-one, //right?",1902,question
1394,Nastya, //[UI],1902,statement
1395,Alik," And if I change it here drill [UI], for example. I changed it, right? And it immediately gets cheaper: //one hundred eighty-one.",1902,statement
1396,Nastya, //Yes but look. I entered these data sixteen thirty-five. I entered them here. I entered everything correctly.,1902,statement
1397,Alik, Did you click the checkmark?,1902,question
1398,Nastya, Yes.,1902,statement
1399,Alik, I don’t even have a checkmark… //update…,1902,disruption
1400,Ryan to Zhenya, Good?,1902,question
1401,Zhenya, Yes.,1902,statement
1402,Alik to Nastya, And what is this?,1902,question
1403,Nastya, That’s //[UI],1902,disruption
1404,Alik," Maybe you shouldn’t work with that, but with this?",1902,question
1405,Nastya," Ho, this [UI], yes.",1902,statement
1406,Natasha," Dasha, we’re changing the input.",1902,statement
1407,Alik to Nastya," Well, change something right here. Change it and we’ll see what… any…",1902,floor-grabber
1408,Dasha to Natasha, She wrote to me there too. I’m looking now. But my //numbers aren’t changing.,1902,statement
1409,Alik to Nastya," Well, go up now.",1902,statement
1410,Alik to Nastya, There look:it became seventy-five.,1902,statement
1411,Nastya," No, it doesn’t appear here.",1902,statement
1412,Alik, But I don’t know if it appears for any of the others.,1902,statement
1413,Zhenya," Anastasia, does that bother you?",1902,question
1414,Nastya," Well, I think something is working for everyone…",1902,disruption
1415,Zhenya, You look at me… It’s all working.,1902,statement
1416,Nastya, Okaay…,1902,floor-grabber
1417,Ryan, Who is the operation specialist?,1902,question
1418,Nastya, Me.,1902,statement
1419,Alik, Nastya.,1902,statement
1420,Nastya, [UI],1902,disruption
1421,Ryan," I just saw you sign off, so congratulations.",1902,statement
1422,Nastya, He told me to do that.,1902,statement
1423,Ryan, Now you’re not.,1902,statement
1424,Zhenya to Alik, Are you chief of panicking?,1902,question
1425,Nastya to Ryan, Do I need to sign off?,1902,question
1426,Ryan," If you are ready to in your heart, then…",1902,disruption
1427,Alik, //[UI],1902,disruption
1428,Nastya, //In my heart… Nobody replied to me //so I signed off…,1902,disruption
1429,Ryan," //Oh, you’re grieving…//Did you text back?",1902,question
1430,Natasha to Dasha," Our biomechanical engineer isn’t working, right?",1902,question
1431,Dasha," //Well, yes. I said he did a good job and now he’s not doing well at all.",1902,statement
1432,Natasha, //[UI],1902,disruption
1433,Zhenya," We answer these questions, right?",1902,question
1434,Alik, Yes.,1902,statement
1435,Nastya, //[UI],1902,disruption
1436,Dasha," //Twenty minutes has already passed, right? It went by tens…",1902,question
1437,Alik," They gave us ten minutes, yes. That’s the second one already, right? //So, soon…",1902,question
1438,Ryan to Nastya, //[UI],1902,question
1439,Zhenya, Thank God.,1902,statement
1440,Alik, And no one has written anything else in the chat?,1902,question
1441,Dasha," No, one person wrote to me…",1902,floor-grabber
1442,Alik," //Ah, he wrote?",1902,question
1443,Nastya, //Who?,1902,question
1444,Dasha to Nastya, Just a second. I think yours.,1902,statement
1445,Nastya, //[UI],1902,disruption
1446,Alik, //Nastya’s boyfriend is writing to Dasha. That’s it.,1902,statement
1447,Nastya, He is like my brother so… ok. I approve. Dasha is good choice.,1902,statement
1448,Dasha," Yes, but he stopped responding. Apparently, he was mistaken…",1902,statement
1449,Natasha, He’s a slut…,1902,floor-grabber
1450,Ryan, Mars is already turning into reality TV show. //This is like the series: who is with whom.,1902,statement
1451,Alik, //[UI],1902,statement
1452,Ryan, [UI],1902,disruption
1453,Dasha to Natasha," But we’re leaving aluminum, right?",1902,question
1454,Zhenya, We’re switching over to cast iron.,1902,statement
1455,Dasha to Natasha, We’re leaving aluminum?,1902,question
1456,Natasha, Yes.,1902,statement
1457,Alik, //That will be too heavy…,1902,floor-grabber
1458,Nastya, //How do you say “cast iron” in English?,1902,question
1459,Dasha, //We don’t change our data.,1902,statement
1460,Alik to Nastya," Cast iron, //cast iron. Belarusian…",1902,statement
1461,Natasha, //[UI],1902,statement
1462,Zhenya, Cast iron [diminutive form].,1902,statement
1463,Nastya, [UI],1902,statement
1464,Alik, [UI],1902,disruption
1465,Natasha, And what do you have for output now?,1902,question
1466,Nastya, We won the war with cast iron.,1902,statement
1467,Dasha, Maybe she’s just sick and stayed home?,1902,question
1468,Natasha," Please confirm that the crew [UI]. Well, come on.",1902,statement
1469,Alik," Ryan, //]UI]",1902,statement
1470,Ryan, //[UI],1902,disruption
1471,Dasha to Natasha," //Did he write to you first? //Water statics, right?",1902,question
1472,Natasha to Dasha, //Yes. //Is that you?,1902,question
1473,Ryan to Alik, //Hydrogeologist…,1902,floor-grabber
1474,Dasha to Natasha, //That’s hydrogeologist.,1902,statement
1475,Alik to Ryan," //It’s Dasha, right, no?",1902,question
1476,Ryan," No, she is //[UI]",1902,disruption
1477,Dasha, //[UI],1902,disruption
1478,Alik," Ah, you [UI]? And that’s hydrogeologist?",1902,question
1479,Dasha, Hydrogeologist is the one //not writing.,1902,statement
1480,Alik, //Not for us.,1902,statement
1481,Dasha, Yes. He’s not responding.,1902,statement
1482,Nastya," Basically, it doesn’t display for us. That’s here, right? [UI]",1902,question
1483,Ryan, //[UI],1902,question
1484,Alik, //[UI] so not ...,1902,statement
1485,Dasha, I think there were some numbers before that they wrote you…,1902,statement
1486,Nastya, //But where?,1902,question
1487,Alik," Ah, they’re asking me to remove…",1902,floor-grabber
1488,Ryan, You’ve made your selections and then signed off.,1902,statement
1489,Natasha, //I didn’t write anything…,1902,disruption
1490,Dasha, I also didn’t write anything.,1902,statement
1491,Alik," //Oh, fine. I’ll go away.",1902,statement
1492,Nastya, Go away?,1902,question
1493,Alik," No, she is telling me: “Please remove your checkmark.”",1902,statement
1494,Dasha, Why did you leave a checkmark? You can see the others //didn’t.,1902,statement
1495,Alik," //I was ready, and she isn’t ready yet and didn’t put any checkmarks…",1902,question
1496,Zhenya, She’s slow. [UI],1902,statement
1497,Nastya, //[UI],1902,disruption
1498,Alik to Nastya," See, she… //The others there can’t…",1902,floor-grabber
1499,Dasha," //There, I think… Yes, no one can. Not just her.",1902,statement
1500,Alik, Ok.,1902,statement
1501,Zhenya, //[UI],1902,disruption
1502,Dasha, //What’s that?,1902,question
1503,Ryan, They probably read them like…,1902,floor-grabber
1504,Alik, But who is mechanical engineer?,1902,question
1505,Natasha, Me.,1902,statement
1506,Dasha to Natasha," Ah, you?",1902,question
1507,Natasha, Yes.,1902,statement
1508,Dasha," //Ah, we have biomechanical.",1902,statement
1509,Alik to Natasha, //But what did you do?,1902,question
1510,Natasha, I didn’t do anything… //[UI],1902,disruption
1511,Ryan, We should //[SL] reject this…,1902,floor-grabber
1512,Alik, //She started everything over again…,1902,floor-grabber
1513,Nastya, //She is entering some kind of…,1902,floor-grabber
1514,Natasha, Yes. But what happened? I [UI]?,1902,question
1515,Zhenya, Everything is gone.,1902,statement
1516,Ryan," Alik, you just choose your selections and then hit the checkmark?",1902,question
1517,Alik, Yeah.,1902,statement
1518,Zhenya, //What do we do? //Click OK?,1902,question
1519,Natasha, //[UI],1902,question
1520,Ryan, How many do you have? How many do you have?,1902,question
1521,Alik, //I selected everything.,1902,statement
1522,Ryan, //I have one box that I did.,1902,statement
1523,Natasha and Nastya, //[UI],1902,statement
1524,Natasha," I don’t understand, are you excluding me from the team?",1902,question
1525,Dasha, No.,1902,statement
1526,Alik," No, we were told there, //that you were responsible for everything from the beginning.",1902,statement
1527,Ryan to Zhenya, //Chose…,1902,floor-grabber
1528,Natasha, Yeah?,1902,question
1529,Dasha, What do we start first?,1902,question
1530,Alik to Dasha, Reset: //you need to reload this…,1902,floor-grabber
1531,Dasha," I understand, but technically, how do I?",1902,question
1532,Nastya," Why is this, shoot…",1902,floor-grabber
1533,Natasha," But I can I enter something here on mine, for example? No, I can’t.",1902,statement
1534,Dasha to Natasha, //Why can’t you?,1902,question
1535,Alik, //Maintenance…,1902,floor-grabber
1536,Natasha," //Ah, no, I can.",1902,statement
1537,Alik, //[UI],1902,disruption
1538,Dasha, //You can. You should enter [UI] and sixty.,1902,statement
1539,Natasha, In Sign off…,1902,disruption
1540,Alik," Sign off, yes.",1902,statement
1541,Natasha, Sing [sic] off.,1902,statement
1542,Dasha, I don’t know what this Sign off is.,1902,statement
1543,Natasha to Dasha," The Sign off tab. Not [UI], but in Sign off.",1902,statement
1544,Nastya, Can you see why //[UI],1902,disruption
1545,Dasha," Ah, everything should be automatically entered.",1902,statement
1546,Natasha," //No, not automatically.",1902,statement
1547,Nastya, //[UI],1902,disruption
1548,Ryan, It’s service [UI],1902,disruption
1549,Zhenya, //[UI],1902,disruption
1550,Dasha," //No, there, probably, if we confirm the data with our checkmark…",1902,floor-grabber
1551,Nastya to Ryan, //That’s what I was asking.,1902,statement
1552,Natasha to Dasha," //Ah, I confirmed it.",1902,statement
1553,Dasha to Natasha," Not me, wait. I’m waiting for our girl to respond.",1902,statement
1554,Nastya to Ryan, So you put all the decisions actually here. //Not on the right…,1902,statement
1555,Alik, //Zhenya is overworked.,1902,statement
1556,Ryan, [UI],1902,question
1557,Alik to Dasha," Headphones? Ah, paper? //I gave it to you.",1902,statement
1558,Ryan, //[UI],1902,question
1559,Dasha to Alik," Ok, fine.",1902,statement
1560,Ryan, Wattage is three hundred fifty thousand.,1902,statement
1561,Natasha, For some reason I have a minus here. What does that mean?,1902,question
1562,Ryan, [UI],1902,disruption
1563,Zhenya, //Are you saying they’re doing bad work?,1902,question
1564,Alik," //Oh, they accepted my decision. Good… they’re clearly tired already. That’s good… What are you laughing at?",1902,question
1565,Nastya, I just totally //[UI],1902,disruption
1566,Natasha, //[UI] anyway… What tasks…,1902,disruption
1567,Dasha," No, I’m all… No…",1902,disruption
1568,Natasha, I mean in the chat…,1902,disruption
1569,Dasha," There! No…There was one there, but there is no letter here!",1902,statement
1570,Natasha," That’s just how this is: you open what should be a correspondence, and then everything disappears.",1902,statement
1571,Nastya, Cars will be //[UI],1902,disruption
1572,Alik," Ryan, isn’t it negative [UI] or [UI] performance? Isn’t it?",1902,question
1573,Ryan, Where is it?,1902,question
1574,Alik, Negative sixty-two thousand.,1902,statement
1575,Natasha, Yeees! //[UI],1902,statement
1576,Alik, //That’s very bad… You see them up there? [UI],1902,question
1577,Natasha, Did you build this… [UI],1902,question
1578,Alik," If you build it, what losses we will incur.",1902,statement
1579,Zhenya, Where is that?,1902,question
1580,Alik, The first thing. We have negative sixty-two thousand and change.,1902,statement
1581,Zhenya," Ah, well, no problem. Spilled milk…",1902,statement
1582,Alik, //[UI],1902,statement
1583,Ryan, //[UI],1902,disruption
1584,Alik, It happens.,1902,statement
1585,Ryan, //[UI],1902,disruption
1586,Natasha, //[UI] pump output and total water output.,1902,statement
1587,Zhenya, Most important:tell me when to put a checkmark.,1902,statement
1588,Dasha, I’m an idiot.,1902,statement
1589,Alik, You need to put it here.,1902,statement
1590,Zhenya," For now, it’s time…",1902,floor-grabber
1591,Dasha," Remind me, please, for the video, when I am ready to enter all my data, I click on my name, then I click on the plus? When do I need to click the checkmark?",1902,question
1592,Natasha," I double clicked on the checkmark at first, then on the plus, then on the checkmark again.",1902,statement
1593,Zhenya, You need to click the plus and the checkmark at the same time.,1902,statement
1594,Natasha,"And then Task 1 will appear again and this, basically, offers no advantage. Well name give this one.",1902,statement
1595,Dasha:,  I did.,1902,statement
1596,Natasha," Well, that’s it. //[UI]",1902,statement
1597,Dasha, //Do you think they fell asleep?,1902,question
1598,Ryan, [UI],1902,disruption
1599,Dasha," Excuse our engineer, what’s her…",1902,floor-grabber
1600,Nastya, Mine also [UI] fell asleep.,1902,statement
1601,Natasha, Right here I can’t change them.,1902,statement
1602,Nastya," Well, fine…",1902,floor-grabber
1603,Natasha, We have //one filter.,1902,statement
1604,Nastya, But I tried.,1902,statement
1605,Dasha," Nastya, you’re probably on your way, on a spacious road, in a rut.",1902,statement
1606,Nastya:,  Why?,1902,question
1607,Natasha, Twelve nineteen… [UI],1902,disruption
1608,Ryan, [UI],1902,disruption
1609,Alik, What?,1902,question
1610,Dasha," Look, biomechanical is here, but she doesn’t respond. She is doing something. She chose one filter, another filter. //But why won’t she respond?",1902,question
1611,Natasha, //But I only have one filter.,1902,statement
1612,Dasha," No, well I think that’s… about her activity.",1902,statement
1613,Alik, What’s going on? Write to her.,1902,statement
1614,Zhenya, Outrageous!,1902,statement
1615,Alik, Don’t be rude. Just ask her.,1902,statement
1616,Dasha," I didn’t plan to be rude to her… So, what are you saying?",1902,question
1617,Alik, Can you please reply me the answer.,1902,statement
1618,Natasha, Here is my data.,1902,statement
1619,Dasha to Alik, How do you write “reply”?,1902,question
